version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 194.87.190.127 5432 48134 6 5 431 1777092909 1777092938 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 185.242.226.73 10.0.1.149 33187 9108 6 1 44 1777092909 1777092938 REJECT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 194.87.190.127 5432 51508 6 5 431 1777092909 1777092938 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 194.87.190.127 5432 48284 6 5 431 1777092909 1777092938 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 194.87.190.127 10.0.1.149 59824 5432 6 6 361 1777092909 1777092938 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 194.87.190.127 10.0.1.149 51498 5432 6 6 361 1777092909 1777092938 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 194.87.190.127 5432 51382 6 5 431 1777092909 1777092938 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 194.87.190.127 5432 51522 6 5 431 1777092909 1777092938 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 194.87.190.127 5432 59752 6 5 431 1777092909 1777092938 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 194.87.190.127 5432 40050 6 5 431 1777092909 1777092938 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 194.87.190.127 5432 51536 6 5 431 1777092909 1777092938 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 194.87.190.127 10.0.1.149 48284 5432 6 5 309 1777092909 1777092938 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 194.87.190.127 5432 44220 6 5 431 1777092909 1777092938 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 216.25.89.105 10.0.1.149 57084 8688 6 1 44 1777092909 1777092938 REJECT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 194.87.190.127 5432 55524 6 5 431 1777092909 1777092938 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 194.87.190.127 10.0.1.149 51522 5432 6 5 309 1777092909 1777092938 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 194.87.190.127 5432 48148 6 5 431 1777092909 1777092938 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 194.87.190.127 10.0.1.149 51350 5432 6 6 361 1777092909 1777092938 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 194.87.190.127 10.0.1.149 40050 5432 6 5 309 1777092909 1777092938 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 194.87.190.127 10.0.1.149 51382 5432 6 6 361 1777092909 1777092938 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 194.87.190.127 10.0.1.149 51330 5432 6 6 361 1777092909 1777092938 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 194.87.190.127 10.0.1.149 51340 5432 6 6 361 1777092909 1777092938 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 194.87.190.127 10.0.1.149 48134 5432 6 6 361 1777092909 1777092938 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 194.87.190.127 5432 55538 6 5 431 1777092909 1777092938 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 194.87.190.127 10.0.1.149 59752 5432 6 6 361 1777092909 1777092938 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 205.210.31.138 10.0.1.149 57123 22 6 1 44 1777092909 1777092938 REJECT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 194.87.190.127 5432 50044 6 5 431 1777092909 1777092938 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 147.185.133.53 10.0.1.149 52623 46851 6 1 44 1777092909 1777092938 REJECT OK
2 560205084868 eni-086e771b77c2495ae 194.87.190.127 10.0.1.149 51508 5432 6 6 361 1777092909 1777092938 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 194.87.190.127 5432 51330 6 5 431 1777092909 1777092938 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 194.87.190.127 10.0.1.149 50044 5432 6 6 361 1777092909 1777092938 ACCEPT OK
